pmid,doi,annee,modele,theme,themes_secondaires,journal,titre,url,fichier
25519944,10.2478/s13382-014-0334-0,2014,dosimetrie_modelisation,dosimetrie_exposition,,International journal of occupational medicine and environmental health,Evaluation of exposure to electromagnetic radiofrequency radiation in the indoor workplace accessible to the public by the use of frequency-selective exposimeters.,https://pubmed.ncbi.nlm.nih.gov/25519944/,dosimetrie_modelisation/dosimetrie_exposition/2014_25519944_evaluation-of-exposure-to-electromagnetic-radiofre.md
23625903,10.1093/rpd/nct104,2013,dosimetrie_modelisation,dosimetrie_exposition,,Radiation protection dosimetry,Study of variations of radiofrequency power density from mobile phone base stations with distance.,https://pubmed.ncbi.nlm.nih.gov/23625903/,dosimetrie_modelisation/dosimetrie_exposition/2013_23625903_study-of-variations-of-radiofrequency-power-densit.md
19194889,10.1002/bem.20478,2009,dosimetrie_modelisation,dosimetrie_exposition,,Bioelectromagnetics,Specific absorption rate and electric field measurements in the near field of six mobile phone base station antennas.,https://pubmed.ncbi.nlm.nih.gov/19194889/,dosimetrie_modelisation/dosimetrie_exposition/2009_19194889_specific-absorption-rate-and-electric-field-measur.md
16392968,10.1667/rr3462.1,2006,dosimetrie_modelisation,dosimetrie_exposition,,Radiation research,Radiofrequency dosimetry for the Ferris-wheel mouse exposure system.,https://pubmed.ncbi.nlm.nih.gov/16392968/,dosimetrie_modelisation/dosimetrie_exposition/2006_16392968_radiofrequency-dosimetry-for-the-ferris-wheel-mous.md
16825734,10.1088/0031-9155/51/14/004,2006,dosimetrie_modelisation,dosimetrie_exposition,,Physics in medicine and biology,Evaluation of stray radiofrequency radiation emitted by electrosurgical devices.,https://pubmed.ncbi.nlm.nih.gov/16825734/,dosimetrie_modelisation/dosimetrie_exposition/2006_16825734_evaluation-of-stray-radiofrequency-radiation-emitt.md
11534836,10.1109/10.942591,2001,dosimetrie_modelisation,dosimetrie_exposition,,IEEE transactions on bio-medical engineering,Distortion of millimeter-wave absorption in biological media due to presence of thermocouples and other objects.,https://pubmed.ncbi.nlm.nih.gov/11534836/,dosimetrie_modelisation/dosimetrie_exposition/2001_11534836_distortion-of-millimeter-wave-absorption-in-biolog.md
8491619,10.1097/00004032-199306000-00009,1993,dosimetrie_modelisation,dosimetrie_exposition,,Health physics,Specific absorption rate and radiofrequency current-to-ground in human models exposed to near-field irradiation.,https://pubmed.ncbi.nlm.nih.gov/8491619/,dosimetrie_modelisation/dosimetrie_exposition/1993_8491619_specific-absorption-rate-and-radiofrequency-curren.md
2627835,,1989,dosimetrie_modelisation,dosimetrie_exposition,,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],[5-HT contents change in peripheral blood of workers exposed to microwave and high frequency radiation].,https://pubmed.ncbi.nlm.nih.gov/2627835/,dosimetrie_modelisation/dosimetrie_exposition/1989_2627835_5-ht-contents-change-in-peripheral-blood-of-worker.md
22268596,10.3109/15368378.2011.624232,2012,dosimetrie_modelisation,eeg_sommeil,reproduction,Electromagnetic biology and medicine,Is there any exposure from a mobile phone in stand-by mode?,https://pubmed.ncbi.nlm.nih.gov/22268596/,dosimetrie_modelisation/eeg_sommeil/2012_22268596_is-there-any-exposure-from-a-mobile-phone-in-stand.md
42447532,10.1016/j.scitotenv.2026.182037,2026,dosimetrie_modelisation,general,,The Science of the total environment,Temporal 2G-5G RF-EMF exposure assessment in ten European countries during one year.,https://pubmed.ncbi.nlm.nih.gov/42447532/,dosimetrie_modelisation/general/2026_42447532_temporal-2g-5g-rf-emf-exposure-assessment-in-ten-e.md
40090040,10.1016/j.envint.2025.109368,2025,dosimetrie_modelisation,general,,Environment international,RF-EMF exposure assessment with add-on uplink exposure sensor in different microenvironments in seven European countries.,https://pubmed.ncbi.nlm.nih.gov/40090040/,dosimetrie_modelisation/general/2025_40090040_rf-emf-exposure-assessment-with-add-on-uplink-expo.md
38475053,10.3390/s24051516,2024,dosimetrie_modelisation,general,,"Sensors (Basel, Switzerland)",Design and Implementation of a Specialised Millimetre-Wave Exposure System for Investigating the Radiation Effects of 5G and Future Technologies.,https://pubmed.ncbi.nlm.nih.gov/38475053/,dosimetrie_modelisation/general/2024_38475053_design-and-implementation-of-a-specialised-millime.md
38566696,10.1007/s12070-023-04354-4,2023,dosimetrie_modelisation,general,,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,Assessment of Effects of Chronic Mobile Phone Usage on Auditory Functions: A Study at a Tertiary Care Teaching Hospital in Northern India.,https://pubmed.ncbi.nlm.nih.gov/38566696/,dosimetrie_modelisation/general/2023_38566696_assessment-of-effects-of-chronic-mobile-phone-usag.md
36044461,10.1371/journal.pone.0268605,2022,dosimetrie_modelisation,general,,PloS one,Comparative study between radiofrequency-induced and muscimol-induced inhibition of cultured networks of cortical neuron.,https://pubmed.ncbi.nlm.nih.gov/36044461/,dosimetrie_modelisation/general/2022_36044461_comparative-study-between-radiofrequency-induced-a.md
34073792,10.3390/molecules26113130,2021,dosimetrie_modelisation,general,,"Molecules (Basel, Switzerland)",Analysis of Mercury in Skin Lightening Cream by Microwave Plasma Atomic Emission Spectroscopy (MP-AES).,https://pubmed.ncbi.nlm.nih.gov/34073792/,dosimetrie_modelisation/general/2021_34073792_analysis-of-mercury-in-skin-lightening-cream-by-mi.md
34998169,10.1016/j.cmpb.2021.106611,2021,dosimetrie_modelisation,general,,Computer methods and programs in biomedicine,Using AI and passive medical radiometry for diagnostics (MWR) of venous diseases.,https://pubmed.ncbi.nlm.nih.gov/34998169/,dosimetrie_modelisation/general/2021_34998169_using-ai-and-passive-medical-radiometry-for-diagno.md
36742690,10.1007/s12070-021-02523-x,2021,dosimetrie_modelisation,general,,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,Effect of Mobile Phone use on Hearing in Young Adults: An Observational Study.,https://pubmed.ncbi.nlm.nih.gov/36742690/,dosimetrie_modelisation/general/2021_36742690_effect-of-mobile-phone-use-on-hearing-in-young-adu.md
29993467,10.1109/TBME.2018.2837102,2018,dosimetrie_modelisation,general,,IEEE transactions on bio-medical engineering,Synthetic Ultra-High-Resolution Millimeter-Wave Imaging for Skin Cancer Detection.,https://pubmed.ncbi.nlm.nih.gov/29993467/,dosimetrie_modelisation/general/2018_29993467_synthetic-ultra-high-resolution-millimeter-wave-im.md
30168103,10.1007/s13246-018-0682-3,2018,dosimetrie_modelisation,general,,Australasian physical & engineering sciences in medicine,Microwave reflectometry for noninvasive imaging of skin abnormalities.,https://pubmed.ncbi.nlm.nih.gov/30168103/,dosimetrie_modelisation/general/2018_30168103_microwave-reflectometry-for-noninvasive-imaging-of.md
31750144,10.1007/s12070-018-1247-1,2018,dosimetrie_modelisation,general,,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,Adverse Effect of Mobile Phone on Hearing in Healthy Individuals: A Clinical Study.,https://pubmed.ncbi.nlm.nih.gov/31750144/,dosimetrie_modelisation/general/2018_31750144_adverse-effect-of-mobile-phone-on-hearing-in-healt.md
1212147,,1975,dosimetrie_modelisation,general,,"Aviation, space, and environmental medicine",Evaluation of possible microwave-induced lens changes in the United States Air Force.,https://pubmed.ncbi.nlm.nih.gov/1212147/,dosimetrie_modelisation/general/1975_1212147_evaluation-of-possible-microwave-induced-lens-chan.md
